int,int,string,int,float,float,enum,int,int,int,int,string
index,id,skillName,tier,upStat1,upStat2,skillType,goldCost,manaCost,reqID1,reqID2,skillDescription
0,10000,파괴의 편린 I,1,1,0,OFN,10,10,0,0,공격력이 1 증가합니다.
1,10001,파괴의 편린 II,2,2,0,OFN,20,20,10000,0,공격력이 2 증가합니다.
2,10002,파괴의 편린 III,3,3,0,OFN,30,30,10001,0,공격력이 3 증가합니다.
3,10003,파괴의 편린 IV,4,4,0,OFN,40,40,10002,0,공격력이 4 증가합니다.
4,10004,파괴의 편린 V,5,5,0,OFN,50,50,10003,0,공격력이 5 증가합니다.
5,10005,파괴의 편린 VI,6,10,0,OFN,60,60,10004,0,공격력이 6 증가합니다.
6,10006,파괴 본능,1,0.1,0.5,OFN,10,10,0,0,"치명타 공격이 가능해지며, 10% 확률로 총 피해의 150%의 데미지를 입힙니다."
7,10007,파괴 충동 I,2,0,0.1,OFN,20,20,10006,0,치명타 공격의 데미지 배율이 10% 증가합니다. 
8,10008,약점 포착 I,3,0.05,0,OFN,30,30,10006,0,치명타 공격 확률이 5% 증가합니다. 
9,10009,파괴 충동 II,4,0,0.15,OFN,40,40,10007,0,치명타 공격의 데미지 배율이 15% 증가합니다. 
10,10010,약점 포착 II,5,0.05,0,OFN,50,50,10008,0,치명타 공격 확률이 5% 증가합니다. 
11,10011,파괴자의 일격,6,0.1,0.25,OFN,60,60,10009,10010,"치명타 공격 확률이 10%, 데미지 배율이 25% 증가합니다. "
12,10012,끊임없는 고통 I,2,0.1,0,OFN,20,20,0,0,공격 시 10% 확률로 적에게 출혈 효과를 부여합니다. 
13,10013,끊임없는 고통 II,3,0,1,OFN,30,30,10012,0,출혈의 데미지가 100% 증가합니다.
14,10014,끊임없는 고통 III,5,0.1,0,OFN,50,50,10018,0,출혈의 부여 확률이 10% 증가합니다.
15,10015,마나 운용법 I,2,1,0,OFN,20,20,0,0,검기의 최대 저장량이 1 증가합니다.
16,10016,마나 버스트,3,0,0.5,OFN,30,30,10015,0,검기의 데미지 배율이 50% 증가합니다. 
17,10017,마나 운용법 II,5,1,0,OFN,50,50,10018,0,검기의 최대 저장량이 1 증가합니다.
18,10018,혈기 흡수,4,0.03,0,OFN,40,40,10013,10016,검기가 적에게 적중 시 최대 체력의 3%를 회복합니다.
19,20000,수호의 편린 I,1,10,0,DEF,10,10,0,0,최대 체력이 10 증가합니다.
20,20001,수호의 편린 II,2,15,0,DEF,20,20,20000,0,최대 체력이 15 증가합니다.
21,20002,수호의 편린 III,3,20,0,DEF,30,30,20001,0,최대 체력이 20 증가합니다.
22,20003,수호의 편린 IV,4,25,0,DEF,40,40,20002,0,최대 체력이 25 증가합니다.
23,20004,수호의 편린 V,5,35,0,DEF,50,50,20003,0,최대 체력이 35 증가합니다.
24,20005,수호의 편린 VI,6,45,0,DEF,60,60,20004,0,최대 체력이 45 증가합니다.
25,20006,정밀한 방어 I,2,0.1,0,DEF,20,20,20000,0,저스트 가드의 판정 시간이 10% 증가합니다.
26,20007,생명의 기운 I,3,0,0.05,DEF,30,30,20006,0,저스트 가드 성공 시 최대 체력의 5%를 회복합니다.
27,20008,정밀한 방어 II,4,0.1,0,DEF,40,40,20007,0,저스트 가드의 판정 시간이 10% 증가합니다.
28,20009,생명의 기운 II,5,0,0.05,DEF,50,50,20008,0,저스트 가드 성공 시 회복되는 체력의 배율이 5% 증가합니다.
29,20010,철벽의 요새 I,1,5,0,DEF,10,10,0,0,방어력이 5 증가합니다.
30,20011,철벽의 요새 II,3,10,0,DEF,30,30,20010,0,방어력이 10 증가합니다.
31,20012,철벽의 요새 III,5,15,0,DEF,50,50,20011,0,방어력이 15 증가합니다.
32,20013,숙련된 방어 I,2,5,0,DEF,20,20,20010,0,가드 발동 시 소모되는 가드 게이지 소모량이 5 감소합니다.
33,20014,불굴의 의지 I,3,0,0.5,DEF,30,30,20013,0,가드 게이지 초당 회복량이 5 증가합니다.
34,20015,숙련된 방어 II,4,5,0,DEF,40,40,20014,0,가드 발동 시 소모되는 가드 게이지 소모량이 5 감소합니다.
35,20016,불굴의 의지 II,5,0,0.5,DEF,50,50,20015,0,가드 게이지 초당 회복량이 5 증가합니다.
36,30000,지배의 편린 I,1,0.05,0,SUP,10,10,0,0,골드 획득량이 5% 증가합니다.
37,30001,지배의 편린 II,2,0.1,0,SUP,20,20,30000,0,골드 획득량이 10% 증가합니다.
38,30002,지배의 편린 III,3,0.15,0,SUP,30,30,30001,0,골드 획득량이 15% 증가합니다.
39,30003,지배의 편린 IV,4,0.2,0,SUP,40,40,30002,0,골드 획득량이 20% 증가합니다.
40,30004,지배의 편린 V,5,0.2,0,SUP,50,50,30003,0,골드 획득량이 20% 증가합니다.
41,30005,지배의 편린 VI,6,0.3,0,SUP,60,60,30004,0,골드 획득량이 30% 증가합니다.
42,30006,전장 지배 I,2,0.03,0,SUP,20,20,0,0,대쉬 중 무적 시간이 0.03초 증가합니다.
43,30007,전술 기동 I,3,0,0.15,SUP,30,30,30006,0,대쉬 쿨타임이 0.15초 감소합니다.
44,30008,전장 지배 II,4,0.03,0,SUP,40,40,30007,0,대쉬 중 무적 시간이 0.03초 증가합니다.
45,30009,전술 기동 II,5,0,0.15,SUP,50,50,30008,0,대쉬 쿨타임이 0.15초 감소합니다.
46,30010,독무의 지배자,2,1,0,SUP,20,20,0,0,독에 대한 데미지 및 디버프에 면역이 됩니다.
47,30011,업화의 지배자,4,1,0,SUP,40,40,30010,0,화염에 대한 데미지 및 디버프에 면역이 됩니다.
48,30012,뇌격의 지배자,6,1,0,SUP,60,60,30011,0,전격에 대한 데미지 및 디버프에 면역이 됩니다.
49,30013,거래의 기술 I,1,0.1,0,SUP,10,10,0,0,상점 구매 금액이 10% 감소합니다.
50,30014,거래의 기술 II,3,0.1,0.1,SUP,30,30,30013,0,상점 구매 및 대장간 강화 금액이 10% 감소합니다.
51,30015,거래의 기술 III,5,0.1,0.1,SUP,50,50,30014,0,상점 구매 및 대장간 강화 금액이 10% 감소합니다.
